title,price,link
HP 15s Core i5 12th Gen (16GB RAM/512GB SSD/FHD/MS Office 21 /Backlit Keyboard /15.6-inch (39.6 cm)/FHD/Windows 11/Silver/1.69 kg) fy5009TU/fd0111tu Laptop,N/A,https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzY1NjQ3MDQwNDU0MTU1OjE3MzI3ODc4ODI6c3BfYXRmOjMwMDIxNTg1OTUzNjEzMjo6MDo6&url=%2FHP-Keyboard-15-6-inch-fy5009TU-fd0111tu%2Fdp%2FB0D4M66F6R%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2JJ698DWM4DJA%26dib%3DeyJ2IjoiMSJ9.Iz6876S7V6F-IKK7yCy4IS_78g6oGZAJ3td1KZ4UAMwMpuZcyH6ir1Fyj-Qq5g5P9ivJRnjzC69GFXJudNHZYY3C5rij0oxsQKbZ-Em7rWjkMzTd3sZAZIIZIjkqOCwtWDMhoXBshiSCXCKRHN6o5GdbmmxCZ_eZCGTR_RYm6tkWSX_Q0Z9kwdH5KfHL0Ra8jXJTzydZKKNirHFblJnhJajLNuKOAytS33e7oyGZkfw.GocjF8qqVmZ1ryJRpbSlpdOA6vSeAxYQNrgJA-8d9SY%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1732787882%26sprefix%3Dlaptop%252Caps%252C196%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg",N/A,https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzY1NjQ3MDQwNDU0MTU1OjE3MzI3ODc4ODI6c3BfYXRmOjMwMDEyMTI3NDg1MzYzMjo6MDo6&url=%2FDell-15-Processor-Antivirus-Spill-Resistant%2Fdp%2FB0BQJ7WR2R%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2JJ698DWM4DJA%26dib%3DeyJ2IjoiMSJ9.Iz6876S7V6F-IKK7yCy4IS_78g6oGZAJ3td1KZ4UAMwMpuZcyH6ir1Fyj-Qq5g5P9ivJRnjzC69GFXJudNHZYY3C5rij0oxsQKbZ-Em7rWjkMzTd3sZAZIIZIjkqOCwtWDMhoXBshiSCXCKRHN6o5GdbmmxCZ_eZCGTR_RYm6tkWSX_Q0Z9kwdH5KfHL0Ra8jXJTzydZKKNirHFblJnhJajLNuKOAytS33e7oyGZkfw.GocjF8qqVmZ1ryJRpbSlpdOA6vSeAxYQNrgJA-8d9SY%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1732787882%26sprefix%3Dlaptop%252Caps%252C196%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",N/A,https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_7?crid=2JJ698DWM4DJA&dib=eyJ2IjoiMSJ9.Iz6876S7V6F-IKK7yCy4IS_78g6oGZAJ3td1KZ4UAMwMpuZcyH6ir1Fyj-Qq5g5P9ivJRnjzC69GFXJudNHZYY3C5rij0oxsQKbZ-Em7rWjkMzTd3sZAZIIZIjkqOCwtWDMhoXBshiSCXCKRHN6o5GdbmmxCZ_eZCGTR_RYm6tkWSX_Q0Z9kwdH5KfHL0Ra8jXJTzydZKKNirHFblJnhJajLNuKOAytS33e7oyGZkfw.GocjF8qqVmZ1ryJRpbSlpdOA6vSeAxYQNrgJA-8d9SY&dib_tag=se&keywords=Laptop&qid=1732787882&sprefix=laptop%2Caps%2C196&sr=8-7
HP 15s Core i5 12th Gen (16GB RAM/512GB SSD/FHD/MS Office 21 /Backlit Keyboard /15.6-inch (39.6 cm)/FHD/Windows 11/Silver/1.69 kg) fy5009TU/fd0111tu Laptop,N/A,https://amazon.in//HP-Keyboard-15-6-inch-fy5009TU-fd0111tu/dp/B0D4M66F6R/ref=sr_1_19?crid=2JJ698DWM4DJA&dib=eyJ2IjoiMSJ9.Iz6876S7V6F-IKK7yCy4IS_78g6oGZAJ3td1KZ4UAMwMpuZcyH6ir1Fyj-Qq5g5P9ivJRnjzC69GFXJudNHZYY3C5rij0oxsQKbZ-Em7rWjkMzTd3sZAZIIZIjkqOCwtWDMhoXBshiSCXCKRHN6o5GdbmmxCZ_eZCGTR_RYm6tkWSX_Q0Z9kwdH5KfHL0Ra8jXJTzydZKKNirHFblJnhJajLNuKOAytS33e7oyGZkfw.GocjF8qqVmZ1ryJRpbSlpdOA6vSeAxYQNrgJA-8d9SY&dib_tag=se&keywords=Laptop&qid=1732787901&sprefix=laptop%2Caps%2C196&sr=8-19
"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office",N/A,https://amazon.in//Lenovo-Intel-Core-12th-1235U/dp/B0DJCNMC4C/ref=sr_1_20?crid=2JJ698DWM4DJA&dib=eyJ2IjoiMSJ9.Iz6876S7V6F-IKK7yCy4IS_78g6oGZAJ3td1KZ4UAMwMpuZcyH6ir1Fyj-Qq5g5P9ivJRnjzC69GFXJudNHZYY3C5rij0oxsQKbZ-Em7rWjkMzTd3sZAZIIZIjkqOCwtWDMhoXBshiSCXCKRHN6o5GdbmmxCZ_eZCGTR_RYm6tkWSX_Q0Z9kwdH5KfHL0Ra8jXJTzydZKKNirHFblJnhJajLNuKOAytS33e7oyGZkfw.GocjF8qqVmZ1ryJRpbSlpdOA6vSeAxYQNrgJA-8d9SY&dib_tag=se&keywords=Laptop&qid=1732787901&sprefix=laptop%2Caps%2C196&sr=8-20
"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg",N/A,https://amazon.in//sspa/click?ie=UTF8&spc=MTozODc1NDQyMzg0NjgzNTUyOjE3MzI3ODc5MDE6c3BfYnRmOjMwMDE2NzM5MTEyMjQzMjo6MDo6&url=%2FDell-Inspiron-3530-i3-1305U-Comfortview%2Fdp%2FB0C4ZM63RP%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2JJ698DWM4DJA%26dib%3DeyJ2IjoiMSJ9.Iz6876S7V6F-IKK7yCy4IS_78g6oGZAJ3td1KZ4UAMwMpuZcyH6ir1Fyj-Qq5g5P9ivJRnjzC69GFXJudNHZYY3C5rij0oxsQKbZ-Em7rWjkMzTd3sZAZIIZIjkqOCwtWDMhoXBshiSCXCKRHN6o5GdbmmxCZ_eZCGTR_RYm6tkWSX_Q0Z9kwdH5KfHL0Ra8jXJTzydZKKNirHFblJnhJajLNuKOAytS33e7oyGZkfw.GocjF8qqVmZ1ryJRpbSlpdOA6vSeAxYQNrgJA-8d9SY%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1732787901%26sprefix%3Dlaptop%252Caps%252C196%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"ASUS TUF Gaming F17, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 165Hz, Gaming Laptop (16GB/512GB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.60 kg), FX706HF-NY040W",N/A,https://amazon.in//sspa/click?ie=UTF8&spc=MTozODc1NDQyMzg0NjgzNTUyOjE3MzI3ODc5MDE6c3BfYnRmOjMwMDM0MjkzMDE5NzMzMjo6MDo6&url=%2FASUS-i5-11400H-17-3-inch-GeForce-FX706HF-NY040W%2Fdp%2FB0D3LXXQFY%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2JJ698DWM4DJA%26dib%3DeyJ2IjoiMSJ9.Iz6876S7V6F-IKK7yCy4IS_78g6oGZAJ3td1KZ4UAMwMpuZcyH6ir1Fyj-Qq5g5P9ivJRnjzC69GFXJudNHZYY3C5rij0oxsQKbZ-Em7rWjkMzTd3sZAZIIZIjkqOCwtWDMhoXBshiSCXCKRHN6o5GdbmmxCZ_eZCGTR_RYm6tkWSX_Q0Z9kwdH5KfHL0Ra8jXJTzydZKKNirHFblJnhJajLNuKOAytS33e7oyGZkfw.GocjF8qqVmZ1ryJRpbSlpdOA6vSeAxYQNrgJA-8d9SY%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1732787901%26sprefix%3Dlaptop%252Caps%252C196%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
HP 15s Core i5 12th Gen (16GB RAM/512GB SSD/FHD/MS Office 21 /Backlit Keyboard /15.6-inch (39.6 cm)/FHD/Windows 11/Silver/1.69 kg) fy5009TU/fd0111tu Laptop,N/A,https://amazon.in//sspa/click?ie=UTF8&spc=MToxOTMzNDYyMTY1Njk0NTE2OjE3MzI3ODc5MDU6c3BfYXRmOjMwMDIxNTg1OTUzNjEzMjo6MDo6&url=%2FHP-Keyboard-15-6-inch-fy5009TU-fd0111tu%2Fdp%2FB0D4M66F6R%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2JJ698DWM4DJA%26dib%3DeyJ2IjoiMSJ9.Iz6876S7V6F-IKK7yCy4IS_78g6oGZAJ3td1KZ4UAMwMpuZcyH6ir1Fyj-Qq5g5P9ivJRnjzC69GFXJudNHZYY3C5rij0oxsQKbZ-Em7rWjkMzTd3sZAZIIZIjkqOCwtWDMhoXBshiSCXCKRHN6o5GdbmmxCZ_eZCGTR_RYm6tkWSX_Q0Z9kwdH5KfHL0Ra8jXJTzydZKKNirHFblJnhJajLNuKOAytS33e7oyGZkfw.GocjF8qqVmZ1ryJRpbSlpdOA6vSeAxYQNrgJA-8d9SY%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1732787905%26sprefix%3Dlaptop%252Caps%252C196%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg",N/A,https://amazon.in//sspa/click?ie=UTF8&spc=MToxOTMzNDYyMTY1Njk0NTE2OjE3MzI3ODc5MDU6c3BfYXRmOjMwMDEyMTI3NDg1MzYzMjo6MDo6&url=%2FDell-15-Processor-Antivirus-Spill-Resistant%2Fdp%2FB0BQJ7WR2R%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2JJ698DWM4DJA%26dib%3DeyJ2IjoiMSJ9.Iz6876S7V6F-IKK7yCy4IS_78g6oGZAJ3td1KZ4UAMwMpuZcyH6ir1Fyj-Qq5g5P9ivJRnjzC69GFXJudNHZYY3C5rij0oxsQKbZ-Em7rWjkMzTd3sZAZIIZIjkqOCwtWDMhoXBshiSCXCKRHN6o5GdbmmxCZ_eZCGTR_RYm6tkWSX_Q0Z9kwdH5KfHL0Ra8jXJTzydZKKNirHFblJnhJajLNuKOAytS33e7oyGZkfw.GocjF8qqVmZ1ryJRpbSlpdOA6vSeAxYQNrgJA-8d9SY%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1732787905%26sprefix%3Dlaptop%252Caps%252C196%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"(Refurbished) HP EliteBook 820 G4 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|12.5"" (31.8 cm) HD|Windows 11|MS Office|WiFi|Webcam|Intel HD Graphics)",N/A,https://amazon.in//Refurbished-HP-EliteBook-Windows-Graphics/dp/B0DKT4SRBV/ref=sr_1_3?crid=2JJ698DWM4DJA&dib=eyJ2IjoiMSJ9.Iz6876S7V6F-IKK7yCy4IS_78g6oGZAJ3td1KZ4UAMwMpuZcyH6ir1Fyj-Qq5g5P9ivJRnjzC69GFXJudNHZYY3C5rij0oxsQKbZ-Em7rWjkMzTd3sZAZIIZIjkqOCwtWDMhoXBshiSCXCKRHN6o5GdbmmxCZ_eZCGTR_RYm6tkWSX_Q0Z9kwdH5KfHL0Ra8jXJTzydZKKNirHFblJnhJajLNuKOAytS33e7oyGZkfw.GocjF8qqVmZ1ryJRpbSlpdOA6vSeAxYQNrgJA-8d9SY&dib_tag=se&keywords=Laptop&qid=1732787905&sprefix=laptop%2Caps%2C196&sr=8-3
